vd	20	q1	101	8192	-78960454487843471528	-78960454487843468932	-209213377328504710686584	-209213377328504710491218
vd	20	q3	103	8192	-125255478315934815107	-125255478315934812498	-169691632795436391601753	-169691632795436391401269
vd	21	a	13	1024	-144730675965977259436	-144730675965977256806	-149352396544256606799276	-149352396544256606596466
vd	21	m	27	2048	-197752477976770028047	-197752477976770025373	-68377320500714780644643	-68377320500714780434196
vd	21	q1	53	4096	-176197083782385788052	-176197083782385785408	-108449132796348195767477	-108449132796348195560517
vd	21	q3	55	4096	-209750903506813512347	-209750903506813509680	-30344737416967219551293	-30344737416967219338081
vd	22	a	7	512	-212818971321626293112	-212818971321626290347	4625735022877381353356	4625735022877381629518
vd	22	m	29	2048	-195752195745027174390	-195752195745027171571	62271003894620699313762	62271003894620699599604
vd	22	q1	57	4096	-207809324582773881040	-207809324582773878240	35706624917677162019614	35706624917677162300976
vd	22	q3	59	4096	-177806357063830395751	-177806357063830392918	83892350825167002448993	83892350825167002740481
vd	23	a	15	1024	-155210725272668965149	-155210725272668962264	100339377823754175596989	100339377823754175898284
vd	23	m	61	4096	-129237810105124098813	-129237810105124095914	111566166574620704060845	111566166574620704371132
vd	24	a	31	2048	-101150098335710411331	-101150098335710408417	117698067771231926958545	117698067771231927277010
vd	24	m	63	4096	-72160342990913720473	-72160342990913717521	119013908143086552372702	119013908143086552698481
vd	24	q1	125	8192	-86695113730068839493	-86695113730068836551	118935126169415604999968	118935126169415605322171
vd	24	q3	127	8192	-57683868900059168271	-57683868900059165313	117989822567206723742003	117989822567206724071079
vd	25	a	1	64	-43396584771773833503	-43396584771773830526	115925126205922835170709	115925126205922835502905
vd	25	m	129	8192	-29421405386012521963	-29421405386012518989	112888152136040778959007	112888152136040779294081
vd	26	a	65	4096	-15872573405575304608	-15872573405575301617	108952517893180915134054	108952517893180915471788
vd	26	m	261	16384	-9291218548568998703	-9291218548568995711	106671955445000757615433	106671955445000757954399
vd	26	q1	521	32768	-12564495056701827567	-12564495056701824598	107837258743851186442127	107837258743851186780481
vd	26	q3	523	32768	-6054251723507616776	-6054251723507613785	105457880526264411766921	105457880526264412106493
vd	27	a	131	8192	-2855063393295161164	-2855063393295158168	104196319231135138884284	104196319231135139224450
vd	27	m	2097	131072	-2061337579993059698	-2061337579993056694	103873660921378067254277	103873660921378067594584
vd	28	a	1049	65536	-1270084402038432322	-1270084402038429317	103548136110779877097661	103548136110779877438098
vd	28	m	2099	131072	-481325651219412399	-481325651219409406	103219765221556319429450	103219765221556319770051
vd	28	q1	4197	262144	-875391867339027997	-875391867339024986	103384305147963413970341	103384305147963414310854
vd	28	q3	4199	262144	-87888453280376344	-87888453280373348	103054518890870427157253	103054518890870427497920
vd	29	a	525	32768	304917036645194451	304917036645197456	102888568717785251486826	102888568717785251827573
vd	29	m	1051	65536	1869768461975102851	1869768461975105851	102217780927547704001747	102217780927547704342745
ad	29	a	525	32768	-90987977914819558084	-90987977914819556672
ad	29	b	263	16384	-90987920906504945410	-90987920906504944007
vd	30	a	263	16384	3424299918662410952	3424299918662413943	101535937260329906769916	101535937260329907111203
